Unnamed: 0,A,B,C,D,E,F,G,H,I,J,K,L,M,TOTAL_OUT
A,0.0,20961.53846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20961.53846153846
B,20961.53846153846,0.0,20961.53846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41923.07692307692
C,0.0,0.0,0.0,20961.53846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20961.53846153846
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20961.53846153846,0.0,0.0,0.0,0.0,20961.53846153846
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20961.53846153846,0.0,0.0,0.0,20961.53846153846
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,20961.53846153846,20961.53846153846,20961.53846153846,20961.53846153846,0.0,0.0,0.0,0.0,20961.53846153846,20961.53846153846,0.0,0.0,0.0,125769.23076923078
