Unnamed: 0,A,B,C,D,E,F,G,H,I,J,K,L,M,TOTAL_OUT
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,6153.846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6153.846153846154
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6153.846153846154,0.0,0.0,0.0,0.0,6153.846153846154
D,0.0,0.0,6153.846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6153.846153846154
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6153.846153846154,0.0,0.0,0.0,6153.846153846154
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0.0,0.0,6153.846153846154,6153.846153846154,0.0,0.0,0.0,0.0,6153.846153846154,6153.846153846154,0.0,0.0,0.0,24615.384615384617
