Unnamed: 0,A,B,C,D,E,F,G,H,I,J,K,L,M,TOTAL_OUT
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,2307.692307692308,0.0,0.0,0.0,0.0,0.0,0.0,2307.692307692308
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2307.692307692308,0.0,0.0,0.0,0.0,0.0,2307.692307692308
G,0.0,0.0,0.0,0.0,0.0,2307.692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2307.692307692308
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2307.692307692308,0.0,0.0,0.0,2307.692307692308
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0.0,0.0,0.0,0.0,0.0,2307.692307692308,2307.692307692308,2307.692307692308,0.0,2307.692307692308,0.0,0.0,0.0,9230.769230769232
