Unnamed: 0,A,B,C,D,E,F,G,H,I,J,K,L,M,TOTAL_OUT
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,13846.153846153848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13846.153846153848
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13846.153846153848,0.0,0.0,0.0,0.0,13846.153846153848
E,0.0,0.0,0.0,0.0,0.0,13846.153846153848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13846.153846153848
F,0.0,0.0,13846.153846153848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13846.153846153848
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13846.153846153848,0.0,0.0,0.0,13846.153846153848
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0.0,0.0,13846.153846153848,13846.153846153848,0.0,13846.153846153848,0.0,0.0,13846.153846153848,13846.153846153848,0.0,0.0,0.0,69230.76923076923
