Unnamed: 0,A,B,C,D,E,F,G,H,I,J,K,L,M,TOTAL_OUT
A,0.0,4038.4615384615386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4038.4615384615386
B,0.0,0.0,4038.4615384615386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4038.4615384615386
C,0.0,0.0,0.0,4038.4615384615386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4038.4615384615386
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4038.4615384615386,0.0,0.0,0.0,0.0,0.0,4038.4615384615386
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4038.4615384615386,0.0,0.0,0.0,0.0,4038.4615384615386
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4038.4615384615386,0.0,0.0,0.0,4038.4615384615386
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0.0,4038.4615384615386,4038.4615384615386,4038.4615384615386,0.0,0.0,0.0,4038.4615384615386,4038.4615384615386,4038.4615384615386,0.0,0.0,0.0,24230.76923076923
