Part,Step,From_Process_Area,From_Center_X_ft,From_Center_Y_ft,To_Process_Area,To_Center_X_ft,To_Center_Y_ft,Distance_ft
P1,1,B,25.0,55.0,A,63.0,25.0,48.41
P1,2,A,63.0,25.0,B2,101.0,55.0,48.41
P1,3,B2,101.0,55.0,C,139.0,19.0,52.35
P1,4,C,139.0,19.0,D,171.0,37.0,36.72
P1,5,D,171.0,37.0,I,204.0,90.0,62.43
P1,6,I,204.0,90.0,J,239.0,108.0,39.36
P1,TOTAL,,,,,,,287.68
P2,1,A,13.0,25.0,C,33.0,13.0,23.32
P2,2,C,33.0,13.0,D,53.0,31.0,26.91
P2,3,D,53.0,31.0,H,80.0,54.0,35.47
P2,4,H,80.0,54.0,J,108.0,90.0,45.61
P2,TOTAL,,,,,,,131.31
P3,1,B,19.0,31.0,D,57.0,43.0,39.85
P3,2,D,57.0,43.0,C,89.0,25.0,36.72
P3,3,C,89.0,25.0,I,116.0,90.0,70.38
P3,4,I,116.0,90.0,J,151.0,108.0,39.36
P3,TOTAL,,,,,,,186.31
P4,1,A,7.0,19.0,B,27.0,25.0,20.88
P4,2,B,27.0,25.0,D,53.0,25.0,26.0
P4,3,D,53.0,25.0,G,77.0,7.5,29.7
P4,4,G,77.0,7.5,H,102.0,54.0,52.79
P4,TOTAL,,,,,,,129.38
P5,1,B,13.0,25.0,C,33.0,19.0,20.88
P5,2,C,33.0,19.0,D,59.0,31.0,28.64
P5,3,D,59.0,31.0,I,92.0,72.0,52.63
P5,TOTAL,,,,,,,102.15
P6,1,A,7.0,19.0,B,27.0,19.0,20.0
P6,2,B,27.0,19.0,C,47.0,13.0,20.88
P6,3,C,47.0,13.0,D,67.0,31.0,26.91
P6,4,D,67.0,31.0,H,87.0,54.0,30.48
P6,5,H,87.0,54.0,I,108.0,54.0,21.0
P6,6,I,108.0,54.0,J,136.0,90.0,45.61
P6,TOTAL,,,,,,,164.87
P7,1,E,22.0,30.0,F,66.0,30.0,44.0
P7,2,F,66.0,30.0,C,101.0,19.0,36.69
P7,3,C,101.0,19.0,D,133.0,37.0,36.72
P7,4,D,133.0,37.0,I,166.0,72.0,48.1
P7,5,I,166.0,72.0,J,194.0,90.0,33.29
P7,TOTAL,,,,,,,198.79
P8,1,E,22.0,30.0,H,65.0,90.0,73.82
P8,2,H,65.0,90.0,J,93.0,54.0,45.61
P8,3,J,93.0,54.0,I,114.0,72.0,27.66
P8,TOTAL,,,,,,,147.08
P9,1,F,22.0,30.0,G,66.0,30.0,44.0
P9,2,G,66.0,30.0,E,110.0,30.0,44.0
P9,3,E,110.0,30.0,G2,154.0,30.0,44.0
P9,4,G2,154.0,30.0,I,190.0,72.0,55.32
P9,5,I,190.0,72.0,J,225.0,90.0,39.36
P9,TOTAL,,,,,,,226.67
P10,1,E,11.0,22.5,F,44.0,22.5,33.0
P10,2,F,44.0,22.5,I,73.0,54.0,42.82
P10,3,I,73.0,54.0,J,94.0,54.0,21.0
P10,TOTAL,,,,,,,96.82
P11,1,E,33.0,45.0,G,88.0,30.0,57.01
P11,2,G,88.0,30.0,E2,143.0,45.0,57.01
P11,3,E2,143.0,45.0,G2,198.0,30.0,57.01
P11,4,G2,198.0,30.0,I,234.0,72.0,55.32
P11,TOTAL,,,,,,,226.34
P12,1,E,22.0,30.0,G,66.0,22.5,44.63
P12,2,G,66.0,22.5,F,110.0,30.0,44.63
P12,3,F,110.0,30.0,I,146.0,90.0,69.97
P12,4,I,146.0,90.0,J,181.0,108.0,39.36
P12,TOTAL,,,,,,,198.6
P13,1,E,22.0,30.0,F,66.0,30.0,44.0
P13,2,F,66.0,30.0,G,99.0,22.5,33.84
P13,3,G,99.0,22.5,F2,132.0,30.0,33.84
P13,4,F2,132.0,30.0,G2,165.0,22.5,33.84
P13,5,G2,165.0,22.5,H,190.0,72.0,55.45
P13,6,H,190.0,72.0,I,218.0,72.0,28.0
P13,TOTAL,,,,,,,228.98
P14,1,E,22.0,30.0,F,66.0,37.5,44.63
P14,2,F,66.0,37.5,G,110.0,22.5,46.49
P14,3,G,110.0,22.5,H,153.0,90.0,80.03
P14,TOTAL,,,,,,,171.15
P15,1,E,11.0,22.5,G,33.0,15.0,23.24
P15,2,G,33.0,15.0,F,66.0,22.5,33.84
P15,3,F,66.0,22.5,H,102.0,72.0,61.21
P15,4,H,102.0,72.0,J,130.0,72.0,28.0
P15,TOTAL,,,,,,,146.29
P16,1,F,22.0,30.0,H,65.0,108.0,89.07
P16,2,H,65.0,108.0,I,100.0,72.0,50.21
P16,3,I,100.0,72.0,J,128.0,90.0,33.29
P16,TOTAL,,,,,,,172.56
P17,1,K,2.5,8.0,L,8.5,15.5,9.6
P17,2,L,8.5,15.5,M,15.5,15.5,7.0
P17,TOTAL,,,,,,,16.6
P18,1,K,2.5,10.5,L,7.5,10.5,5.0
P18,2,L,7.5,10.5,K2,12.5,10.5,5.0
P18,3,K2,12.5,10.5,M,18.5,18.0,9.6
P18,TOTAL,,,,,,,19.6
P19,1,L,4.5,20.5,M,14.5,25.5,11.18
P19,2,M,14.5,25.5,L2,24.5,20.5,11.18
P19,3,L2,24.5,20.5,M2,34.5,25.5,11.18
P19,TOTAL,,,,,,,33.54
P20,1,L,3.5,15.5,K,9.5,10.5,7.81
P20,2,K,9.5,10.5,M,15.5,18.0,9.6
P20,TOTAL,,,,,,,17.41
