Year,Part,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7
Year 1,P1,B: 25,A: 5,B: 25,C: 3,D: 13,I: 7,J: 13
Year 1,P10,E: 2,F: 2,I: 2,J: 3,,,
Year 1,P11,E: 5,G: 2,E: 5,G: 2,I: 2,,
Year 1,P12,E: 3,G: 2,F: 3,I: 3,J: 6,,
Year 1,P13,E: 2,F: 3,G: 1,F: 3,G: 1,H: 3,I: 2
Year 1,P14,E: 5,F: 7,G: 3,H: 8,,,
Year 1,P15,E: 1,G: 1,F: 1,H: 2,J: 2,,
Year 1,P16,F: 4,H: 15,I: 4,J: 8,,,
Year 1,P17,K: 1,L: 4,M: 5,,,,
Year 1,P18,K: 4,L: 4,K: 4,M: 11,,,
Year 1,P19,L: 21,M: 30,L: 21,M: 30,,,
Year 1,P2,A: 4,C: 2,D: 7,H: 3,J: 7,,
Year 1,P20,L: 7,K: 3,M: 11,,,,
Year 1,P3,B: 3,D: 5,C: 2,I: 3,J: 4,,
Year 1,P4,A: 3,B: 5,D: 7,G: 1,H: 3,,
Year 1,P5,B: 3,C: 2,D: 6,I: 3,,,
Year 1,P6,A: 1,B: 2,C: 1,D: 3,H: 1,I: 2,J: 3
Year 1,P7,E: 4,F: 5,C: 3,D: 12,I: 5,J: 7,
Year 1,P8,E: 2,H: 3,J: 1,I: 2,,,
Year 1,P9,F: 4,G: 3,E: 3,G: 3,I: 3,J: 7,
Year 2,P1,B: 31,A: 7,B: 31,C: 4,D: 16,I: 8,J: 16
Year 2,P10,E: 3,F: 3,I: 3,J: 4,,,
Year 2,P11,E: 9,G: 3,E: 9,G: 3,I: 3,,
Year 2,P12,E: 5,G: 3,F: 5,I: 6,J: 10,,
Year 2,P13,E: 3,F: 5,G: 2,F: 5,G: 2,H: 5,I: 3
Year 2,P14,E: 6,F: 9,G: 3,H: 11,,,
Year 2,P15,E: 2,G: 1,F: 2,H: 4,J: 4,,
Year 2,P16,F: 4,H: 16,I: 4,J: 8,,,
Year 2,P17,K: 2,L: 8,M: 9,,,,
Year 2,P18,K: 6,L: 6,K: 6,M: 16,,,
Year 2,P19,L: 26,M: 39,L: 26,M: 39,,,
Year 2,P2,A: 5,C: 2,D: 10,H: 4,J: 10,,
Year 2,P20,L: 10,K: 4,M: 15,,,,
Year 2,P3,B: 6,D: 9,C: 3,I: 5,J: 8,,
Year 2,P4,A: 3,B: 5,D: 8,G: 1,H: 4,,
Year 2,P5,B: 4,C: 2,D: 8,I: 4,,,
Year 2,P6,A: 2,B: 3,C: 2,D: 7,H: 3,I: 3,J: 6
Year 2,P7,E: 4,F: 6,C: 3,D: 14,I: 5,J: 8,
Year 2,P8,E: 4,H: 6,J: 2,I: 3,,,
Year 2,P9,F: 5,G: 4,E: 4,G: 4,I: 4,J: 9,
Year 3,P1,B: 33,A: 7,B: 33,C: 4,D: 17,I: 9,J: 17
Year 3,P10,E: 3,F: 3,I: 3,J: 4,,,
Year 3,P11,E: 12,G: 4,E: 12,G: 4,I: 4,,
Year 3,P12,E: 6,G: 3,F: 6,I: 7,J: 12,,
Year 3,P13,E: 4,F: 6,G: 2,F: 6,G: 2,H: 6,I: 4
Year 3,P14,E: 6,F: 9,G: 3,H: 11,,,
Year 3,P15,E: 2,G: 1,F: 3,H: 5,J: 5,,
Year 3,P16,F: 4,H: 16,I: 4,J: 8,,,
Year 3,P17,K: 3,L: 10,M: 11,,,,
Year 3,P18,K: 6,L: 6,K: 6,M: 18,,,
Year 3,P19,L: 28,M: 41,L: 28,M: 41,,,
Year 3,P2,A: 5,C: 2,D: 10,H: 4,J: 10,,
Year 3,P20,L: 11,K: 4,M: 16,,,,
Year 3,P3,B: 8,D: 13,C: 4,I: 7,J: 11,,
Year 3,P4,A: 3,B: 5,D: 8,G: 1,H: 4,,
Year 3,P5,B: 4,C: 2,D: 9,I: 5,,,
Year 3,P6,A: 2,B: 3,C: 2,D: 8,H: 3,I: 3,J: 7
Year 3,P7,E: 4,F: 6,C: 3,D: 14,I: 5,J: 8,
Year 3,P8,E: 5,H: 8,J: 2,I: 4,,,
Year 3,P9,F: 6,G: 4,E: 4,G: 4,I: 4,J: 9,
Year 4,P1,B: 34,A: 7,B: 34,C: 4,D: 17,I: 9,J: 17
Year 4,P10,E: 3,F: 4,I: 3,J: 4,,,
Year 4,P11,E: 14,G: 4,E: 14,G: 4,I: 4,,
Year 4,P12,E: 6,G: 3,F: 6,I: 8,J: 14,,
Year 4,P13,E: 4,F: 7,G: 3,F: 7,G: 3,H: 6,I: 4
Year 4,P14,E: 7,F: 10,G: 4,H: 11,,,
