,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,22500.0,7700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,13050.0,0.0,21850.0,11400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,6300.0,0.0,0.0,0.0,0.0
D,0.0,0.0,6300.0,0.0,0.0,0.0,5100.0,12050.0,25950.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,28700.0,33000.0,6100.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,8450.0,0.0,0.0,0.0,27100.0,9400.0,12500.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,13300.0,16650.0,0.0,21950.0,13300.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15300.0,16800.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56750.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6100.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14250.0,19400.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19400.0,0.0,31200.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12900.0,0.0
