,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,11410.25641025641,3717.9487179487173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,6987.179487179487,0.0,10641.02564102564,5128.205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,18974.358974358973,0.0,0.0,0.0,0.0,2051.2820512820513,0.0,0.0,0.0,0.0
D,0.0,0.0,2051.2820512820513,0.0,0.0,0.0,3076.9230769230767,5064.1025641025635,13910.25641025641,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,13846.153846153848,12435.897435897436,1538.4615384615383,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,4615.384615384616,0.0,0.0,0.0,12307.692307692309,4743.589743589744,4871.794871794872,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,5641.025641025641,5769.2307692307695,0.0,10769.23076923077,5641.025641025641,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6987.179487179487,6025.641025641025,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26794.871794871797,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1538.4615384615383,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5641.025641025642,8910.25641025641
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8910.25641025641,0.0,15000.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6666.666666666667,0.0
