,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,10680.0,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,5960.0,0.0,10880.0,7600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,17240.0,0.0,0.0,0.0,0.0,5380.0,0.0,0.0,0.0,0.0
D,0.0,0.0,5380.0,0.0,0.0,0.0,2220.0,5460.0,11780.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,13240.0,22440.0,4920.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,3400.0,0.0,0.0,0.0,14040.0,5180.0,7560.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,8480.0,11280.0,0.0,10460.0,8480.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8120.0,10320.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30460.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4920.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8180.0,9600.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,0.0,16320.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6300.0,0.0
